mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
7	7	26	26	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	40												5
7	7	24	24	0.0	0	0	Spanner	2/2	4	1	0														6	
7	7	24	24	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	41										14	6	
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	4	1	0													14		
7	7	26	26	0.0	1/2	1/2	Spanner	2/2	4	1	0													14		6
7	7	26	26	2.0	1/2	1/2	Chord	2/2	4	1	1/2	1/2	1	42										14		6
8	8	28	28	0.0	0	0	Dynamic	2/2	1	1	0				pp											
8	8	28	28	0.0	0	0	Spanner	2/2	1	1	0															
8	8	28	28	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	43										15		
8	8	30	30	0.0	1/2	1/2	StaffText	2/2	1	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"							15		
8	8	30	30	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	44										15		
8	8	31	31	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	45												
8	8	28	28	0.0	0	0	Dynamic	2/2	2	1	0				pp											
8	8	28	28	0.0	0	0	Spanner	2/2	2	1	0															
8	8	28	28	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	46										16		
8	8	29	29	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	47										16		
8	8	30	30	0.0	1/2	1/2	StaffText	2/2	2	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"							16		
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	48										16		
8	8	31	31	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	49												
8	8	28	28	0.0	0	0	Dynamic	2/2	3	1	0				pp											
8	8	28	28	0.0	0	0	Spanner	2/2	3	1	0															
8	8	28	28	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	50										17		
8	8	30	30	0.0	1/2	1/2	StaffText	2/2	3	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
8	8	30	30	1.0	1/2	1/2	Chord	2/2	3	1	1/4	1/4	1	51												
8	8	31	31	1.0	3/4	3/4	Chord	2/2	3	1	1/4	1/4	1	52												
8	8	28	28	0.0	0	0	Dynamic	2/2	4	1	0				pp											
8	8	28	28	0.0	0	0	Spanner	2/2	4	1	0															
8	8	28	28	2.0	0	0	Chord	2/2	4	1	1/2	1/2	1	53												
8	8	30	30	0.0	1/2	1/2	StaffText	2/2	4	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
8	8	30	30	1.0	1/2	1/2	Chord	2/2	4	1	1/4	1/4	1	54												
8	8	31	31	1.0	3/4	3/4	Chord	2/2	4	1	1/4	1/4	1	55												
9	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0				f											
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""10.6033""/><font face=""Times New Roman""/><b>Allegro</b>"									
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0			
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	56										18		
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	57										18		
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	58										18		
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	59										18		
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	60										18		
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	61										18		
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	62										18		
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	63										18		
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	64										18		
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	65										18		
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	66										18		
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	67										18		
9	9	35	35	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	68										18		
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	69										18		
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	70										18		
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	71										18		
9	9	32	32	0.0	0	0	Dynamic	4/4	2	1	0				f											
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	72		articStaccatoBelow										
9	9	32	32	0.0	0	0	Dynamic	4/4	3	1	0				f											
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	73		articStaccatoBelow										
9	9	32	32	0.0	0	0	Dynamic	4/4	4	1	0				f											
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	74		articStaccatoBelow										
10	10	36	36	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>dim.</i>"							18		
10	10	36	36	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	75										18		
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	76										18		
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	77										18		
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	78										18		
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	79										18		
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	80										18		
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	81										18		
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	82										18		
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	83										18		
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	84										18		
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	85										18		
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	86										18		
10	10	39	39	0.0	3/4	3/4	Dynamic	4/4	1	1	0				p									18		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	87										18		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	88												
10	10	39	39	0.0	3/4	3/4	Dynamic	4/4	2	1	0				p											
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	89		articStaccatoBelow										
10	10	39	39	0.0	3/4	3/4	Dynamic	4/4	3	1	0				p											
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	90		articStaccatoBelow										
10	10	39	39	0.0	3/4	3/4	Dynamic	4/4	4	1	0				p											
10	10	39	39	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	91		articStaccatoBelow										
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1	1	1	92												
11	11	41	41	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	93										19		
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	94										19		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	95										19		
11	11	43	43	0.75	3/4	3/4	Chord	4/4	4	1	3/16	1/8	3/2	96										19		
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	97												
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	98												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	99										20		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	100												
12	12	47	47	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12	1/8	2/3	101										21		
12	12	142/3	142/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12	1/8	2/3	102										21		
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12	1/8	2/3	103												
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	104										22		
12	12	47	47	0.0	3/4	3/4	Dynamic	4/4	3	1	0				p											
12	12	47	47	0.0	3/4	3/4	Dynamic	4/4	3	1	0				p											
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	105										23		
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	106										24		
12	12	45	45	3.0	1/4	1/4	Chord	4/4	4	1	3/4	1/2	3/2	107												
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108										25		
13	13	49	49	0.0	1/4	1/4	SystemText	4/4	1	1	0							"<font size=""12""/>VI"						25		
13	13	49	49	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	109										25		
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	110										25		
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	111										25		
13	13	51	51	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	112										25		
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	113												
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	114										22		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	115												
13	13	48	48	4.0	0	0	Chord	4/4	3	1	1	1	1	116												
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	117										26		
14	14	53	53	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	118										26		
14	14	55	55	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	119										26		
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	120												
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1	1	1	121												
14	14	52	52	4.0	0	0	Chord	4/4	3	1	1	1	1	122												
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	123										27		
15	15	57	57	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	124										27		
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	125												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	126										28		
15	15	59	59	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	127										28		
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	128												
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1	1	1	129												
15	15	56	56	4.0	0	0	Chord	4/4	3	1	1	1	1	130												
15	15	56	56	0.0	0	0	Dynamic	4/4	4	1	0				p											
15	15	56	56	4.0	0	0	Chord	4/4	4	1	1	1	1	131												
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0														7	
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	132										29	7	
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	133										29	7	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	1	1	0													29		
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	1	1	0													29		7
16	16	63	63	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	134										29		7
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	135												7
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0														8	
16	16	60	60	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	136											8	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	2	1	0															
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	2	1	0															8
16	16	60	60	0.0	0	0	Spanner	4/4	3	1	0														9	
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	137											9	
16	16	61	61	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	138										30	9	
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	139										30	9	
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	140										30	9	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	3	1	0															
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	3	1	0															9
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	141												9
16	16	60	60	0.0	0	0	Spanner	4/4	4	1	0														10	
16	16	60	60	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	142										31	10	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	4	1	0															
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	4	1	0															10
16	16	63	63	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	143												10
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0															
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0														11	
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	144										32	11	
17	17	65	65	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	145										32	11	
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	1	1	0													32		
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	1	1	0													32		11
17	17	67	67	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	146										32		11
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	147												11
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0															
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0														12	
17	17	65	65	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	148										33	12	
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	149										33	12	
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	150										33	12	
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	2	1	0															
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	2	1	0															12
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	151												12
17	17	64	64	0.0	0	0	Spanner	4/4	3	1	0															
17	17	64	64	0.0	0	0	Spanner	4/4	3	1	0														13	
17	17	64	64	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	152											13	
17	17	65	65	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	153											13	
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	3	1	0															
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	3	1	0															13
17	17	67	67	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	154												13
17	17	64	64	0.0	0	0	Spanner	4/4	4	1	0															
17	17	64	64	0.0	0	0	Spanner	4/4	4	1	0														14	
17	17	64	64	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	155										34	14	
17	17	65	65	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	156										34	14	
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	4	1	0															
17	17	67	67	0.0	3/4	3/4	Spanner	4/4	4	1	0															14
17	17	67	67	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	157												14
18	18	68	68	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
18	18	68	68	0.0	0	0	Spanner	4/4	1	1	0															
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	158										35		
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	159												
18	18	70	70	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	160										36		
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	161												
18	18	71	71	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	162										37		
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	163												
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0															
18	18	69	69	0.0	1/4	1/4	StaffText	4/4	2	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
18	18	69	69	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	164										38		
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	165										38		
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	166										38		
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	167												
18	18	68	68	0.0	0	0	Spanner	4/4	3	1	0															
18	18	71	71	0.0	3/4	3/4	StaffText	4/4	3	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
18	18	71	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	168												
18	18	68	68	0.0	0	0	Spanner	4/4	4	1	0															
18	18	68	68	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	169												
18	18	70	70	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	170												
18	18	71	71	0.0	3/4	3/4	StaffText	4/4	4	1	0						"<font size=""9.7197""/><font face=""Times New Roman""/><i>cresc.</i>"									
18	18	71	71	0.75	3/4	3/4	Chord	4/4	4	1	3/16	1/8	3/2	171										39		
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	172												
19	19	72	72	0.0	0	0	Dynamic	4/4	1	1	0				f											
19	19	72	72	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	173										40		
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	174												
19	19	73	73	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	175										41		
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	176												
19	19	74	74	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	177										42		
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	178												
19	19	75	75	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	179										43		
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	180												
19	19	72	72	0.0	0	0	Dynamic	4/4	2	1	0				f											
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	181												
19	19	73	73	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	182										44		
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	183												
19	19	74	74	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	184										45		
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	185												
19	19	75	75	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	186										46		
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	187												
19	19	72	72	0.0	0	0	Dynamic	4/4	3	1	0				f											
19	19	72	72	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	188												
19	19	73	73	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	189										47		
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	190												
19	19	74	74	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	191										48		
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	192												
19	19	75	75	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	193										49		
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	194												
19	19	72	72	0.0	0	0	Dynamic	4/4	4	1	0				f											
19	19	72	72	0.75	0	0	Chord	4/4	4	1	3/16	1/8	3/2	195										50		
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	196												
19	19	73	73	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	197										51		
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	198												
19	19	74	74	0.75	1/2	1/2	Chord	4/4	4	1	3/16	1/8	3/2	199										52		
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	200												
19	19	75	75	0.75	3/4	3/4	Chord	4/4	4	1	3/16	1/8	3/2	201										53		
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	202												
20	20	76	76	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	203		articStaccatoBelow										
20	20	77	77	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	204		articStaccatoBelow										
