mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
36	36	0	V43		Bb	II	I	V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
36	36	1/4	V65		Bb	II	I	V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
36	36	1/2	V7		Bb	II	I	V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
36	36	3/4	V43		Bb	II	I	V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
37	37	0	I64		Bb	II	I	I64	I			64				M	0	0	1, 0, 4		0.0	1.0
38	38	0	V7		Bb	II	I	V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
39	39	0	I64]		Bb	II	I	I64	I			64				M	0	0	1, 0, 4		0.0	1.0
40	40	0	V65		Bb	II		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
41	41	0	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
41	41	1/4	V7		Bb	II		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
41	41	1/2	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
41	41	3/4	V7		Bb	II		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
42	42	0	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
42	42	1/4	V7		Bb	II		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
42	42	1/2	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
42	42	3/4	V7		Bb	II		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
43	43	0	I		Bb	II		I	I							M	0	0	0, 4, 1		0.0	0.0
44	44	0	I\\		Bb	II		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
44	44	3/4	V.V		Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
45	45	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
47	47	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
47	47	3/8	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
47	47	1/2	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
47	47	7/8	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
48	48	0	V		Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
49	49	0	v.i		Bb	v		i	i							m	0	1	0, -3, 1		0.0	0.0
51	51	0	#viio6		Bb	v		#viio6	#vii		o	6				o	0	1	2, -1, 5		5.0	2.0
51	51	3/8	i		Bb	v		i	i							m	0	1	0, -3, 1		0.0	0.0
51	51	1/2	#viio6		Bb	v		#viio6	#vii		o	6				o	0	1	2, -1, 5		5.0	2.0
51	51	7/8	i		Bb	v		i	i							m	0	1	0, -3, 1		0.0	0.0
52	52	0	V		Bb	v		V	V							M	0	1	1, 5, 2		1.0	1.0
52	52	1/2	V7		Bb	v		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
53	53	0	i		Bb	v		i	i							m	0	1	0, -3, 1		0.0	0.0
53	53	1/2	V2/iv		Bb	v		V2/iv	V			2		iv		Mm7	0	1	-2, 0, 4, 1		0.0	-2.0
54	54	0	iv6		Bb	v		iv6	iv			6				m	0	1	-4, 0, -1		-1.0	-4.0
55	55	0	III64		Bb	v		III64	III			64				M	0	1	-2, -3, 1		-3.0	-2.0
55	55	1/2	V2/III		Bb	v		V2/III	V			2		III		Mm7	0	1	-4, -2, 2, -1		-2.0	-4.0
56	56	0	III6		Bb	v		III6	III			6				M	0	1	1, -2, -3		-3.0	1.0
57	57	0	VI		Bb	v		VI	VI							M	0	1	-4, 0, -3		-4.0	-4.0
58	58	0	.bII6		Bb	v		bII6	bII			6				M	0	1	-1, -4, -5		-5.0	-1.0
59	59	0	V(64)		Bb	v		V(64)	V				64			M	0	1	1, 0, -3		1.0	1.0
59	59	1/2	V2		Bb	v		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
60	60	0	i6		Bb	v		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
60	60	7/8	iio6		Bb	v		iio6	ii		o	6				o	0	1	-1, -4, 2		2.0	-1.0
61	61	0	i64		Bb	v		i64	i			64				m	0	1	1, 0, -3		0.0	1.0
61	61	1/2	V2		Bb	v		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
62	62	0	V.I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
62	62	7/8	ii6		Bb	V		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
63	63	0	V(64)		Bb	V		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
63	63	1/2	V2		Bb	V		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
64	64	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
65	65	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
66	66	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
66	66	3/4	vi		Bb	V		vi	vi							m	0	0	3, 0, 4		3.0	3.0
67	67	0	ii6		Bb	V		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
67	67	1/2	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
68	68	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
69	69	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
70	70	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
70	70	1/2	V43/vi		Bb	V		V43/vi	V			43		vi		Mm7	0	0	5, 2, 4, 8		4.0	5.0
70	70	3/4	vi		Bb	V		vi	vi							m	0	0	3, 0, 4		3.0	3.0
71	71	0	V65/vi		Bb	V		V65/vi	V			65		vi		Mm7	0	0	8, 5, 2, 4		4.0	8.0
71	71	1/2	vi		Bb	V		vi	vi							m	0	0	3, 0, 4		3.0	3.0
72	72	0	V65/IV		Bb	V		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
72	72	1/2	IV		Bb	V		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
73	73	0	V65/II		Bb	V		V65/II	V			65		II		Mm7	0	0	7, 4, 1, 3		3.0	7.0
73	73	1/2	V/V		Bb	V		V/V	V					V		M	0	0	2, 6, 3		2.0	2.0
74	74	0	#viio7/vi		Bb	V		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
75	75	0	vi		Bb	V		vi	vi							m	0	0	3, 0, 4		3.0	3.0
76	76	0	ii6		Bb	V		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
77	77	0	#viio7/V		Bb	V		#viio7/V	#vii		o	7		V		o7	0	0	13, 10, 7, 4		13.0	13.0
78	78	0	V(64)		Bb	V		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
79	79	0	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
80	80	0	I\\		Bb	V		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
81	81	0	V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
81	81	1/4	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
81	81	1/2	V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
81	81	3/4	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
82	82	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
82	82	1/2	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
83	83	0	V2		Bb	V		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
84	84	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
84	84	3/4	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
85	85	0	V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
86	86	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
86	86	1/2	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
87	87	0	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
88	88	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
90	90	1/2	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
91	91	0	I\\	1	Bb	V		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
92	92	0	I\\	2	Bb	V		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
92	92	3/4	V	2	Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
93	93	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
93	93	1/2	I64		Bb	V		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
94	94	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
94	94	3/4	V		Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
95	95	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
95	95	1/2	I64		Bb	V		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
96	96	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
96	96	3/4	V		Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
97	97	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
102	102	0	III.V43		Bb	III		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
103	103	0	I		Bb	III		I	I							M	0	0	0, 4, 1		0.0	0.0
107	107	0	vi.#viio43		Bb	vi		#viio43	#vii		o	43				o7	0	1	-1, -4, 5, 2		5.0	-1.0
111	111	0	i6		Bb	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
112	112	0	V65		Bb	vi		V65	V			65				Mm7	0	1	5, 2, -1, 1		1.0	5.0
118	118	0	i6		Bb	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
118	118	1/2	i		Bb	vi		i	i							m	0	1	0, -3, 1		0.0	0.0
119	119	0	V65		Bb	vi		V65	V			65				Mm7	0	1	5, 2, -1, 1		1.0	5.0
120	120	0	i6		Bb	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
120	120	1/2	i\\		Bb	vi		i	i						\\	m	0	1	0, -3, 1		0.0	0.0
120	120	3/4	V.V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
121	121	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
122	122	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
122	122	1/2	I64		Bb	V		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
122	122	3/4	V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
123	123	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
124	124	0	I6		Bb	V		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
124	124	1/2	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
124	124	3/4	V43		Bb	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
125	125	0	V65		Bb	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
126	126	0	i6		Bb	V		i6	i			6				m	0	0	-3, 1, 0		0.0	-3.0
126	126	1/2	i		Bb	V		i	i							m	0	0	0, -3, 1		0.0	0.0
126	126	3/4	IV.V43		Bb	IV		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
127	127	0	V65		Bb	IV		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
128	128	0	I		Bb	IV		I	I							M	0	0	0, 4, 1		0.0	0.0
128	128	1/2	V(64)		Bb	IV		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
129	129	0	V65		Bb	IV		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
130	130	0	I6		Bb	IV		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
130	130	1/2	I		Bb	IV		I	I							M	0	0	0, 4, 1		0.0	0.0
130	130	3/4	V43		Bb	IV		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
131	131	0	V65		Bb	IV		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
132	132	0	i6		Bb	IV		i6	i			6				m	0	0	-3, 1, 0		0.0	-3.0
132	132	1/2	i		Bb	IV		i	i							m	0	0	0, -3, 1		0.0	0.0
132	132	3/4	.bIII.V		Bb	bIII		V	V							M	0	0	1, 5, 2		1.0	1.0
133	133	0	V		Bb	bIII		V	V							M	0	0	1, 5, 2		1.0	1.0
133	133	1/2	V7		Bb	bIII		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
134	134	0	I6		Bb	bIII		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
134	134	1/2	I		Bb	bIII		I	I							M	0	0	0, 4, 1		0.0	0.0
134	134	3/4	V2		Bb	bIII		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
136	136	0	V43		Bb	bIII		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
136	136	1/2	V6		Bb	bIII		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
136	136	3/4	i.V43		Bb	i		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
137	137	0	V65		Bb	i		V65	V			65				Mm7	0	1	5, 2, -1, 1		1.0	5.0
138	138	0	i		Bb	i		i	i							m	0	1	0, -3, 1		0.0	0.0
139	139	3/4	V/V		Bb	i		V/V	V					V		M	0	1	2, 6, 3		2.0	2.0
140	140	0	V\\		Bb	i		V	V						\\	M	0	1	1, 5, 2		1.0	1.0
140	140	3/4	V.I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
141	141	0	V		Bb	V		V	V							M	0	0	1, 5, 2		1.0	1.0
142	142	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
143	143	0	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
144	144	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
145	145	0	V7		Bb	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
146	146	0	I		Bb	V		I	I							M	0	0	0, 4, 1		0.0	0.0
147	147	0	iv64		Bb	V		iv64	iv			64				m	0	0	0, -1, -4		-1.0	0.0
147	147	1/2	#viio64/V		Bb	V		#viio64/V	#vii		o	64		V		o	0	0	7, 13, 10		13.0	7.0
148	148	0	I.V43		Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
149	149	0	V2		Bb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
150	150	0	V43		Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
151	151	0	V2		Bb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
152	152	0	V43		Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
152	152	1/2	V7		Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
155	155	0	V6		Bb	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
156	156	0	viio6		Bb	I		viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
157	157	1/2	vii%7		Bb	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
161	161	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
162	162	0	vii%7(42)		Bb	I		vii%7(42)	vii		%	7	42			%7	0	0	0, 4, 11, 3		5.0	0.0
162	162	1/2	vii%7		Bb	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
163	163	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
164	164	0	vii%43(42)		Bb	I		vii%43(42)	vii		%	43	42			%7	0	0	11, 3, 0, 4		5.0	11.0
164	164	1/2	vii%43		Bb	I		vii%43	vii		%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
165	165	0	vii%43		Bb	I		vii%43	vii		%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
166	166	0	vii%7(42)		Bb	I		vii%7(42)	vii		%	7	42			%7	0	0	0, 4, 11, 3		5.0	0.0
166	166	1/2	vii%7		Bb	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
167	167	0	vii%7		Bb	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5.0	5.0
168	168	0	@none		Bb	I		@none	@none							m	0	0				
172	172	0	viio6		Bb	I		viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
174	174	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
176	176	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
181	181	0	V7		Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
182	182	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
182	182	1/2	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
183	183	0	V65		Bb	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
184	184	0	I		Bb	I		I	I							M	0	0	0, 4, 1		0.0	0.0
185	185	0	V7		Bb	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
186	186	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
186	186	1/2	vi7		Bb	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
187	187	0	vi		Bb	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
187	187	1/2	V7/V		Bb	I		V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
188	188	0	V\\		Bb	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
188	188	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
189	189	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
189	189	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
190	190	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
190	190	1/2	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
191	191	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
191	191	1/2	V6/V		Bb	I		V6/V	V			6		V		M	0	0	6, 3, 2		2.0	6.0
192	192	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
192	192	1/4	V/V		Bb	I		V/V	V					V		M	0	0	2, 6, 3		2.0	2.0
192	192	1/2	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
192	192	3/4	V6/V		Bb	I		V6/V	V			6		V		M	0	0	6, 3, 2		2.0	6.0
193	193	0	V\\		Bb	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
193	193	1/2	V43		Bb	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
194	194	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
194	194	1/4	V2		Bb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
194	194	1/2	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
194	194	3/4	V2		Bb	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
195	195	0	I6		Bb	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
195	195	1/2	V65/IV		Bb	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
196	196	0	IV.I[I		Bb	IV	I	I	I							M	0	0	0, 4, 1		0.0	0.0
196	196	1/4	viio6		Bb	IV	I	viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
196	196	7/16	I		Bb	IV	I	I	I							M	0	0	0, 4, 1		0.0	0.0
196	196	3/4	viio6		Bb	IV	I	viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
197	197	0	I		Bb	IV	I	I	I							M	0	0	0, 4, 1		0.0	0.0
197	197	3/4	viio6		Bb	IV	I	viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
198	198	0	I		Bb	IV	I	I	I							M	0	0	0, 4, 1		0.0	0.0
198	198	1/4	viio6		Bb	IV	I	viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
198	198	1/2	I		Bb	IV	I	I	I							M	0	0	0, 4, 1		0.0	0.0
198	198	3/4	viio6		Bb	IV	I	viio6	vii		o	6				o	0	0	2, -1, 5		5.0	2.0
199	199	0	I]\\		Bb	IV	I	I	I						\\	M	0	0	0, 4, 1		0.0	0.0
200	200	0	V		Bb	IV		V	V							M	0	0	1, 5, 2		1.0	1.0
201	201	0	I		Bb	IV		I	I							M	0	0	0, 4, 1		0.0	0.0
202	202	0	ii6		Bb	IV		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
202	202	1/2	V7		Bb	IV		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
203	203	0	i\\		Bb	IV		i	i						\\	m	0	0	0, -3, 1		0.0	0.0
204	204	0	V		Bb	IV		V	V							M	0	0	1, 5, 2		1.0	1.0
205	205	0	i		Bb	IV		i	i							m	0	0	0, -3, 1		0.0	0.0
206	206	0	I.iv6		Bb	I		iv6	iv			6				m	0	0	-4, 0, -1		-1.0	-4.0
206	206	1/2	.Ger6		Bb	I		Ger6	vii	Ger	o	65	b3	V		M	0	0	-4, 0, -3, 6		6.0	-4.0
207	207	0	V[V6		Bb	I	V	V6	V			6				M	0	0	5, 2, 1		1.0	5.0
208	208	0	V2/V		Bb	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2.0	0.0
209	209	0	V6		Bb	I	V	V6	V			6				M	0	0	5, 2, 1		1.0	5.0
209	209	3/4	V6/V		Bb	I	V	V6/V	V			6		V		M	0	0	6, 3, 2		2.0	6.0
210	210	0	V7/V		Bb	I	V	V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
211	211	0	V		Bb	I	V	V	V							M	0	0	1, 5, 2		1.0	1.0
211	211	1/4	V64		Bb	I	V	V64	V			64				M	0	0	2, 1, 5		1.0	2.0
212	212	0	V7/V		Bb	I	V	V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
213	213	0	V64		Bb	I	V	V64	V			64				M	0	0	2, 1, 5		1.0	2.0
213	213	1/2	V]		Bb	I	V	V	V							M	0	0	1, 5, 2		1.0	1.0
214	214	0	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
215	215	0	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
215	215	1/4	V65/V		Bb	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
215	215	1/2	V		Bb	I		V	V							M	0	0	1, 5, 2		1.0	1.0
