quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
12	0.16666666666666666	7	7	0	0	2/4	1	1	1/24		1/16	2/3		0	72		80
73/6	0.16666666666666666	7	7	1/24	1/24	2/4	1	1	1/24		1/16	2/3		5	71		81
37/3	0.16666666666666666	7	7	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		82
25/2	0.5	7	7	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		93
25/2	1.0	7	7	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		91
25/2	0.5	7	7	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		88
25/2	0.16666666666666666	7	7	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		83
38/3	0.16666666666666666	7	7	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		84
77/6	0.16666666666666666	7	7	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-2	70		85
13	0.5	7	7	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		94
13	0.5	7	7	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		89
13	0.5	7	7	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		86
27/2	0.5	7	7	3/8	3/8	2/4	4	1	1/8		1/8	1		6	54		95
27/2	0.5	7	7	3/8	3/8	2/4	3	1	1/8		1/8	1		2	62		92
27/2	0.5	7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		90
27/2	0.25	7	7	3/8	3/8	2/4	1	1	1/16		1/16	1		0	84		87
14	0.5	8	8	0	0	2/4	4	1	1/8		1/8	1		1	55		106
14	0.5	8	8	0	0	2/4	3	1	1/8		1/8	1		4	64		103
14	0.5	8	8	0	0	2/4	2	1	1/8		1/8	1		1	67		100
14	0.5	8	8	0	0	2/4	1	1	1/8		1/8	1		0	72		96
29/2	0.5	8	8	1/8	1/8	2/4	4	1	1/8		1/8	1		1	43		107
29/2	0.5	8	8	1/8	1/8	2/4	3	1	1/8		1/8	1		-1	65		104
29/2	0.5	8	8	1/8	1/8	2/4	2	1	1/8		1/8	1		5	71		101
29/2	0.25	8	8	1/8	1/8	2/4	1	1	1/16		1/16	1		4	76		97
59/4	0.25	8	8	3/16	3/16	2/4	1	1	1/16		1/16	1		2	74		98
15	0.5	8	8	1/4	1/4	2/4	4	1	1/8		1/8	1		0	48		108
15	0.5	8	8	1/4	1/4	2/4	3	1	1/8		1/8	1		4	64		105
15	0.5	8	8	1/4	1/4	2/4	2	1	1/8		1/8	1		1	67		102
15	0.5	8	8	1/4	1/4	2/4	1	1	1/8		1/8	1		0	72		99
16	0.16666666666666666	9	9	0	0	2/4	3	1	1/24		1/16	2/3		-1	65		109
97/6	0.16666666666666666	9	9	1/24	1/24	2/4	3	1	1/24		1/16	2/3		4	64		110
49/3	0.16666666666666666	9	9	1/12	1/12	2/4	3	1	1/24		1/16	2/3		-1	65		111
33/2	0.16666666666666666	9	9	1/8	1/8	2/4	3	1	1/24		1/16	2/3		1	67		112
50/3	0.16666666666666666	9	9	1/6	1/6	2/4	3	1	1/24		1/16	2/3		-1	65		113
101/6	0.16666666666666666	9	9	5/24	5/24	2/4	3	1	1/24		1/16	2/3		4	64		114
17	0.16666666666666666	9	9	1/4	1/4	2/4	3	1	1/24		1/16	2/3		2	62		115
103/6	0.16666666666666666	9	9	7/24	7/24	2/4	3	1	1/24		1/16	2/3		0	60		116
52/3	0.16666666666666666	9	9	1/3	1/3	2/4	3	1	1/24		1/16	2/3		-2	58		117
35/2	0.16666666666666666	9	9	3/8	3/8	2/4	3	1	1/24		1/16	2/3		3	57		118
53/3	0.16666666666666666	9	9	5/12	5/12	2/4	3	1	1/24		1/16	2/3		1	55		119
107/6	0.16666666666666666	9	9	11/24	11/24	2/4	3	1	1/24		1/16	2/3		-1	53		120
18	0.5	10	10	0	0	2/4	4	1	1/8		1/8	1		1	43		129
18	0.5	10	10	0	0	2/4	3	1	1/8		1/8	1		4	52		126
18	0.5	10	10	0	0	2/4	2	1	1/8		1/8	1		0	60		123
37/2	0.5	10	10	1/8	1/8	2/4	4	1	1/8		1/8	1		1	43		130
37/2	0.5	10	10	1/8	1/8	2/4	3	1	1/8		1/8	1		4	52		127
37/2	0.5	10	10	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60		124
19	0.5	10	10	1/4	1/4	2/4	4	1	1/8		1/8	1		4	40		131
19	0.5	10	10	1/4	1/4	2/4	3	1	1/8		1/8	1		1	55		128
19	0.5	10	10	1/4	1/4	2/4	2	1	1/8		1/8	1		-2	70		125
19	0.5	10	10	1/4	1/4	2/4	1	1	1/8		1/8	1		-2	82		121
39/2	0.5	10	10	3/8	3/8	2/4	1	1	1/8		1/8	1		-2	82		122
20	0.16666666666666666	11	11	0	0	2/4	3	1	1/24		1/16	2/3		1	67		133
20	0.5	11	11	0	0	2/4	1	1	1/8		1/8	1		4	76		132
121/6	0.16666666666666666	11	11	1/24	1/24	2/4	3	1	1/24		1/16	2/3		6	66		134
61/3	0.16666666666666666	11	11	1/12	1/12	2/4	3	1	1/24		1/16	2/3		1	67		135
41/2	0.16666666666666666	11	11	1/8	1/8	2/4	3	1	1/24		1/16	2/3		3	69		136
62/3	0.16666666666666666	11	11	1/6	1/6	2/4	3	1	1/24		1/16	2/3		1	67		137
125/6	0.16666666666666666	11	11	5/24	5/24	2/4	3	1	1/24		1/16	2/3		-1	65		138
21	0.16666666666666666	11	11	1/4	1/4	2/4	3	1	1/24		1/16	2/3		4	64		139
127/6	0.16666666666666666	11	11	7/24	7/24	2/4	3	1	1/24		1/16	2/3		2	62		140
64/3	0.16666666666666666	11	11	1/3	1/3	2/4	3	1	1/24		1/16	2/3		0	60		141
43/2	0.16666666666666666	11	11	3/8	3/8	2/4	3	1	1/24		1/16	2/3		-2	58		142
65/3	0.16666666666666666	11	11	5/12	5/12	2/4	3	1	1/24		1/16	2/3		3	57		143
131/6	0.16666666666666666	11	11	11/24	11/24	2/4	3	1	1/24		1/16	2/3		1	55		144
22	0.5	12	12	0	0	2/4	4	1	1/8		1/8	1		3	45		153
22	0.5	12	12	0	0	2/4	3	1	1/8		1/8	1		-1	53		150
22	0.5	12	12	0	0	2/4	2	1	1/8		1/8	1		0	60		147
45/2	0.5	12	12	1/8	1/8	2/4	4	1	1/8		1/8	1		3	45		154
45/2	0.5	12	12	1/8	1/8	2/4	3	1	1/8		1/8	1		-1	53		151
45/2	0.5	12	12	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60		148
23	0.5	12	12	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	41		155
23	0.5	12	12	1/4	1/4	2/4	3	1	1/8		1/8	1		3	57		152
23	0.5	12	12	1/4	1/4	2/4	2	1	1/8		1/8	1		0	72		149
23	0.5	12	12	1/4	1/4	2/4	1	1	1/8		1/8	1		0	84		145
47/2	0.5	12	12	3/8	3/8	2/4	1	1	1/8		1/8	1		0	84		146
24	0.16666666666666666	13	13	0	0	2/4	1	1	1/24		1/16	2/3		0	72		156
145/6	0.16666666666666666	13	13	1/24	1/24	2/4	1	1	1/24		1/16	2/3		5	71		157
73/3	0.16666666666666666	13	13	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		158
49/2	0.5	13	13	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		169
49/2	1.0	13	13	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		167
49/2	0.5	13	13	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		164
49/2	0.16666666666666666	13	13	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		159
74/3	0.16666666666666666	13	13	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		160
149/6	0.16666666666666666	13	13	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-2	70		161
25	0.5	13	13	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		170
25	0.5	13	13	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		165
25	0.5	13	13	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		162
51/2	0.5	13	13	3/8	3/8	2/4	4	1	1/8		1/8	1		-1	41		171
51/2	0.5	13	13	3/8	3/8	2/4	3	1	1/8		1/8	1		0	60		168
51/2	0.5	13	13	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		166
51/2	0.25	13	13	3/8	3/8	2/4	1	1	1/16		1/16	1		-1	77		163
26	0.16666666666666666	14	14	0	0	2/4	1	1	1/24		1/16	2/3		0	72		172
157/6	0.16666666666666666	14	14	1/24	1/24	2/4	1	1	1/24		1/16	2/3		5	71		173
79/3	0.16666666666666666	14	14	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		174
53/2	0.5	14	14	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		185
53/2	1.0	14	14	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		183
53/2	0.5	14	14	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		180
53/2	0.16666666666666666	14	14	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		175
80/3	0.16666666666666666	14	14	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		176
161/6	0.16666666666666666	14	14	5/24	5/24	2/4	1	1	1/24		1/16	2/3		5	71		177
27	0.5	14	14	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		186
27	0.5	14	14	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		181
27	0.5	14	14	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		178
55/2	0.5	14	14	3/8	3/8	2/4	4	1	1/8		1/8	1		-1	41		187
55/2	0.5	14	14	3/8	3/8	2/4	3	1	1/8		1/8	1		0	60		184
55/2	0.5	14	14	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		182
55/2	0.25	14	14	3/8	3/8	2/4	1	1	1/16		1/16	1		3	81		179
28	0.16666666666666666	15	15	0	0	2/4	1	1	1/24		1/16	2/3		0	72		188
169/6	0.16666666666666666	15	15	1/24	1/24	2/4	1	1	1/24		1/16	2/3		-2	70		189
85/3	0.16666666666666666	15	15	1/12	1/12	2/4	1	1	1/24		1/16	2/3		0	72		190
57/2	0.5	15	15	1/8	1/8	2/4	4	1	1/8		1/8	1		4	52		201
57/2	1.0	15	15	1/8	1/8	2/4	3	1	1/4		1/4	1		0	60		199
57/2	0.5	15	15	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		196
57/2	0.16666666666666666	15	15	1/8	1/8	2/4	1	1	1/24		1/16	2/3		2	74		191
86/3	0.16666666666666666	15	15	1/6	1/6	2/4	1	1	1/24		1/16	2/3		0	72		192
173/6	0.16666666666666666	15	15	5/24	5/24	2/4	1	1	1/24		1/16	2/3		-2	70		193
29	0.5	15	15	1/4	1/4	2/4	4	1	1/8		1/8	1		-1	53		202
29	0.5	15	15	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60		197
29	0.5	15	15	1/4	1/4	2/4	1	1	1/8		1/8	1		3	69		194
59/2	0.5	15	15	3/8	3/8	2/4	4	1	1/8		1/8	1		6	54		203
59/2	0.5	15	15	3/8	3/8	2/4	3	1	1/8		1/8	1		3	57		200
59/2	0.5	15	15	3/8	3/8	2/4	2	1	1/8		1/8	1		0	72		198
59/2	0.5	15	15	3/8	3/8	2/4	1	1	1/8		1/8	1		-3	87		195
30	0.5	16	16	0	0	2/4	4	1	1/8		1/8	1		1	55		216
30	0.5	16	16	0	0	2/4	3	1	1/8		1/8	1		-2	58		212
30	0.5	16	16	0	0	2/4	2	1	1/8		1/8	1		-2	70		208
30	0.5	16	16	0	0	2/4	1	1	1/8		1/8	1		2	86		204
61/2	0.5	16	16	1/8	1/8	2/4	4	1	1/8		1/8	1		7	49		217
61/2	0.5	16	16	1/8	1/8	2/4	3	1	1/8		1/8	1		1	55		213
61/2	0.5	16	16	1/8	1/8	2/4	2	1	1/8		1/8	1		-2	70		209
61/2	0.5	16	16	1/8	1/8	2/4	1	1	1/8		1/8	1		4	88		205
31	0.5	16	16	1/4	1/4	2/4	4	1	1/8		1/8	1		2	50		218
31	0.5	16	16	1/4	1/4	2/4	3	1	1/8		1/8	1		-1	53		214
31	0.5	16	16	1/4	1/4	2/4	2	1	1/8		1/8	1		3	69		210
31	0.5	16	16	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	89		206
63/2	0.5	16	16	3/8	3/8	2/4	4	1	1/8		1/8	1		5	47		219
63/2	0.5	16	16	3/8	3/8	2/4	3	1	1/8		1/8	1		2	62		215
63/2	0.5	16	16	3/8	3/8	2/4	2	1	1/8		1/8	1		-1	65		211
63/2	0.5	16	16	3/8	3/8	2/4	1	1	1/8		1/8	1		1	67		207
32	1.0	17	17	0	0	2/4	4	1	1/4		1/4	1		0	48		226
32	1.0	17	17	0	0	2/4	3	1	1/4		1/4	1		0	60		224
32	1.0	17	17	0	0	2/4	2	1	1/4		1/4	1		-1	65		222
32	1.0	17	17	0	0	2/4	1	1	1/4		1/4	1		3	69		220
33	1.0	17	17	1/4	1/4	2/4	4	1	1/4		1/4	1		0	36		227
33	1.0	17	17	1/4	1/4	2/4	3	1	1/4		1/4	1		0	48		225
33	1.0	17	17	1/4	1/4	2/4	1	1	1/4		1/4	1		1	55		221
33	1.0	17	17	1/4	1/4	2/4	2	1	1/4		1/4	1		-2	58		223
33	1.0	17	17	1/4	1/4	2/4	1	1	1/4		1/4	1		4	64		221
34	1.0	18	18	0	0	2/4	4	1	1/4		1/4	1		-1	41		231
34	1.0	18	18	0	0	2/4	3	1	1/4		1/4	1		-1	53		230
34	1.0	18	18	0	0	2/4	1	1	1/4		1/4	1		3	57		228
34	1.0	18	18	0	0	2/4	2	1	1/4		1/4	1		3	57		229
34	1.0	18	18	0	0	2/4	1	1	1/4		1/4	1		-1	65		228
36	0.25	19	19	0	0	2/4	1	1	1/16		1/16	1		3	57		232
145/4	0.25	19	19	1/16	1/16	2/4	1	1	1/16		1/16	1		0	60		233
73/2	0.25	19	19	1/8	1/8	2/4	1	1	1/16		1/16	1		1	67		234
147/4	0.25	19	19	3/16	3/16	2/4	1	1	1/16		1/16	1		-1	65		235
37	0.25	19	19	1/4	1/4	2/4	2	1	1/16		1/16	1		3	57		240
37	0.25	19	19	1/4	1/4	2/4	1	1	1/16		1/16	1		0	60		236
149/4	0.25	19	19	5/16	5/16	2/4	2	1	1/16		1/16	1		0	60		241
149/4	0.25	19	19	5/16	5/16	2/4	1	1	1/16		1/16	1		-1	65		237
75/2	0.25	19	19	3/8	3/8	2/4	2	1	1/16		1/16	1		1	67		242
75/2	0.25	19	19	3/8	3/8	2/4	1	1	1/16		1/16	1		-2	70		238
151/4	0.25	19	19	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	65		243
151/4	0.25	19	19	7/16	7/16	2/4	1	1	1/16		1/16	1		3	69		239
38	0.25	20	20	0	0	2/4	3	1	1/16		1/16	1		5	59		246
38	1.0	20	20	0	0	2/4	2	1	1/4		1/4	1		4	64		245
38	1.0	20	20	0	0	2/4	1	1	1/4		1/4	1		1	67		244
153/4	0.25	20	20	1/16	1/16	2/4	3	1	1/16		1/16	1		0	60		247
77/2	0.25	20	20	1/8	1/8	2/4	3	1	1/16		1/16	1		5	59		248
155/4	0.25	20	20	3/16	3/16	2/4	3	1	1/16		1/16	1		0	60		249
39	0.25	20	20	1/4	1/4	2/4	3	1	1/16		1/16	1		5	59		250
157/4	0.25	20	20	5/16	5/16	2/4	3	1	1/16		1/16	1		0	60		251
79/2	0.25	20	20	3/8	3/8	2/4	3	1	1/16		1/16	1		1	55		252
159/4	0.25	20	20	7/16	7/16	2/4	3	1	1/16		1/16	1		4	52		253
40	1.0	21	21	0	0	2/4	3	1	1/4		1/4	1		0	48		266
40	0.25	21	21	0	0	2/4	1	1	1/16		1/16	1		0	60		254
161/4	0.25	21	21	1/16	1/16	2/4	1	1	1/16		1/16	1		4	64		255
81/2	0.25	21	21	1/8	1/8	2/4	1	1	1/16		1/16	1		3	69		256
163/4	0.25	21	21	3/16	3/16	2/4	1	1	1/16		1/16	1		1	67		257
41	0.25	21	21	1/4	1/4	2/4	2	1	1/16		1/16	1		0	60		262
41	0.25	21	21	1/4	1/4	2/4	1	1	1/16		1/16	1		4	64		258
165/4	0.25	21	21	5/16	5/16	2/4	2	1	1/16		1/16	1		4	64		263
165/4	0.25	21	21	5/16	5/16	2/4	1	1	1/16		1/16	1		1	67		259
83/2	0.25	21	21	3/8	3/8	2/4	2	1	1/16		1/16	1		3	69		264
83/2	0.25	21	21	3/8	3/8	2/4	1	1	1/16		1/16	1		0	72		260
167/4	0.25	21	21	7/16	7/16	2/4	2	1	1/16		1/16	1		1	67		265
167/4	0.25	21	21	7/16	7/16	2/4	1	1	1/16		1/16	1		-2	70		261
42	0.25	22	22	0	0	2/4	4	1	1/16		1/16	1		4	52		269
42	1.0	22	22	0	0	2/4	2	1	1/4		1/4	1		-1	65		268
42	1.0	22	22	0	0	2/4	1	1	1/4		1/4	1		3	69		267
169/4	0.25	22	22	1/16	1/16	2/4	4	1	1/16		1/16	1		-1	53		270
85/2	0.25	22	22	1/8	1/8	2/4	4	1	1/16		1/16	1		4	52		271
171/4	0.25	22	22	3/16	3/16	2/4	4	1	1/16		1/16	1		-1	53		272
43	0.25	22	22	1/4	1/4	2/4	4	1	1/16		1/16	1		4	52		273
173/4	0.25	22	22	5/16	5/16	2/4	4	1	1/16		1/16	1		-1	53		274
87/2	0.25	22	22	3/8	3/8	2/4	4	1	1/16		1/16	1		0	48		275
175/4	0.25	22	22	7/16	7/16	2/4	4	1	1/16		1/16	1		3	45		276
44	1.0	23	23	0	0	2/4	4	1	1/4		1/4	1		-1	41		285
44	0.25	23	23	0	0	2/4	1	1	1/16		1/16	1		0	60		277
177/4	0.25	23	23	1/16	1/16	2/4	1	1	1/16		1/16	1		-1	65		278
89/2	0.25	23	23	1/8	1/8	2/4	1	1	1/16		1/16	1		-2	70		279
179/4	0.25	23	23	3/16	3/16	2/4	1	1	1/16		1/16	1		3	69		280
45	0.25	23	23	1/4	1/4	2/4	1	1	1/16		1/16	1		-1	65		281
181/4	0.25	23	23	5/16	5/16	2/4	1	1	1/16		1/16	1		3	69		282
91/2	0.25	23	23	3/8	3/8	2/4	1	1	1/16		1/16	1		2	74		283
183/4	0.25	23	23	7/16	7/16	2/4	1	1	1/16		1/16	1		0	72		284
46	0.25	24	24	0	0	2/4	1	1	1/16		1/16	1		3	69		286
185/4	0.25	24	24	1/16	1/16	2/4	1	1	1/16		1/16	1		0	72		287
93/2	0.25	24	24	1/8	1/8	2/4	1	1	1/16		1/16	1		1	79		288
187/4	0.25	24	24	3/16	3/16	2/4	1	1	1/16		1/16	1		-1	77		289
47	0.25	24	24	1/4	1/4	2/4	1	1	1/16		1/16	1		0	72		290
189/4	0.25	24	24	5/16	5/16	2/4	1	1	1/16		1/16	1		-1	77		291
95/2	0.5	24	24	3/8	3/8	2/4	4	1	1/8		1/8	1		-1	53		296
95/2	0.5	24	24	3/8	3/8	2/4	3	1	1/8		1/8	1	1	0	60		295
95/2	0.5	24	24	3/8	3/8	2/4	2	1	1/8		1/8	1		3	69		294
95/2	0.25	24	24	3/8	3/8	2/4	1	1	1/16		1/16	1		-2	82		292
191/4	0.25	24	24	7/16	7/16	2/4	1	1	1/16		1/16	1		3	81		293
48	0.5	25	25	0	0	2/4	4	1	1/8		1/8	1		4	52		313
48	0.5	25	25	0	0	2/4	3	1	1/8		1/8	1	-1	0	60		309
48	0.5	25	25	0	0	2/4	2	1	1/8		1/8	1		1	67		305
48	0.25	25	25	0	0	2/4	1	1	1/16		1/16	1		1	79		297
193/4	0.25	25	25	1/16	1/16	2/4	1	1	1/16		1/16	1		-1	77		298
97/2	0.5	25	25	1/8	1/8	2/4	4	1	1/8		1/8	1		0	48		314
97/2	0.5	25	25	1/8	1/8	2/4	3	1	1/8		1/8	1		0	60		310
97/2	0.5	25	25	1/8	1/8	2/4	2	1	1/8		1/8	1		4	64		306
97/2	0.25	25	25	1/8	1/8	2/4	1	1	1/16		1/16	1		4	76		299
195/4	0.25	25	25	3/16	3/16	2/4	1	1	1/16		1/16	1		2	74		300
49	0.5	25	25	1/4	1/4	2/4	4	1	1/8		1/8	1		4	52		315
